year,month,brand,collaboration_name,category,gdelt_peak
2017,1,Helmut Lang,Helmut Lang x Travis Scott,Luxury Fashion,0.001
2017,10,Ksubi,Ksubi x Travis Scott,Streetwear,0.002
2017,2,Nike,Travis Scott x Nike 2017,Footwear,0.0035
2017,12,Saint Laurent,Cactus Jack x Saint Laurent,Luxury Fashion,0.009
2018,8,Off-White,"Off-White x Travis Scott ""Birds Eye View"" Tour Merch",Luxury Fashion,0.035
2018,5,Nike,Travis Scott x Nike 2018,Footwear,0.0076
2018,11,READYMADE,Cactus Jack x READYMADE 2018,Luxury Fashion,0.0005
2019,5,Nike,Travis Scott x Nike 2019,Footwear,0.0799
2019,4,READYMADE,Cactus Jack x READYMADE 2019,Luxury Fashion,0.0004
2019,4,New Era,New Era x Travis Scott x Houston Astros,Sports,0.033
2019,12,Hot Wheels,"Cactus Jack for Hot Wheels BMW M3 E30 ""JACKBOYS Edition""",Collectibles,0.0007
2020,3,Nike,Travis Scott x Nike 2020,Footwear,0.082
2020,4,Fortnite,Astronomical,Gaming,0.1045
2020,4,Nerf,Travis Scott x Nerf,Collectibles,0.0056
2020,10,McDonald's,The Travis Scott Meal,Food & Beverage,0.0343
2020,9,Cactus Plant Flea Market,Cactus Jack x Cactus Plant Flea Market,Streetwear,0.0007
2020,10,PlayStation,Travis Scott x PlayStation,Gaming,0.0416
2020,12,Byredo,Byredo x Cactus Jack,Lifestyle,0.0025
2020,5,UNINTERRUPTED,Cactus Jack x UNINTERRUPTED,Streetwear,0.035
2020,11,VERZUZ,Cactus Jack for VERZUZ TM:1017,Entertainment,0.0025
2020,12,Cacti Agave Spiked Seltzer, Travis Scott x Anheuser-Busch, Food & Beverage, 0.0301 
2021,5,Nike,Travis Scott x Nike 2021,Footwear,0.0457
2021,6,Dior,Cactus Jack x Dior,Luxury Fashion,0.0301
2021,2,i-D Magazine,Cactus Jack x i-D,Lifestyle,0.0084
2021,10,NEIGHBORHOOD,Cactus Jack x NEIGHBORHOOD,Streetwear,0.038
2021,10,mastermind JAPAN,Cactus Jack x mastermind JAPAN,Luxury Fashion,0.0157
2022,5,Nike,Travis Scott x Nike 2022,Footwear,0.0064
2022,1,Zouk Nightclub,Road to Utopia,Entertainment,0.003
2023,8,Nike,Travis Scott x Nike 2023,Footwear,0.0159
2023,12,Audemars Piguet,Audemars Piguet x Cactus Jack,Luxury Fashion,0.0021
2023,7,A24 Films,Cactus Jack Films x A24,Entertainment,0.0225
2024,8,Nike,Travis Scott x Nike 2024,Footwear,0.0262
2024,6,Topps Trading Cards,Topps Chrome Cosmic x Cactus Jack,Collectibles,0.0029
2024,4,Mitchell & Ness,Cactus Jack x Mitchell & Ness,Streetwear,0.0032
2024,8,Sp5der,Cactus Jack x SP5DER,Streetwear,0.0006
2024,11,ComplexCon,CactusCon,Entertainment,0.003
2025,12,Nike,Travis Scott x Nike 2025,Footwear,0.0142
2025,7,WWE,Cactus Jack x WWE,Sports,0.0185
2025,4,Topps Trading Cards,Topps Chrome WWE Cactus Jack x WrestleMania,Collectibles,0.001
2025,5,Oakley,Cactus Jack x Oakley,Sports,0.0008
2025,3,Spotify,Spotify x Barca x Cactus Jack,Sports,0.0237
2025,7,Erewhon,Cactus Jack x Erewhon,Food & Beverage,0.0013
2025,4,Coachella,The Village by Cactus Jack,Entertainment,0.0483
