node,type,cluster
Travis Scott,main,Central
Quavo,artist,Trap
Young Thug,artist,Trap
The Weeknd,artist,Pop
21 Savage,artist,Trap
Sheck Wes,artist,Cactus Jack
Don Toliver,artist,Cactus Jack
Kid Cudi,artist,Psychedelic
Kanye West,artist,Mainstream Rap
Future,artist,Trap
2 Chainz,artist,Trap
Swae Lee,artist,Pop
Toro y Moi,artist,Psychedelic
T.I.,artist,Trap
Justin Vernon,artist,Psychedelic
Big Sean,artist,Mainstream Rap
Pharrell Williams,artist,Psychedelic
NAV,artist,Trap
Takeoff,artist,Trap
Lil Uzi Vert,artist,Psychedelic
Drake,artist,Mainstream Rap
James Blake,artist,Psychedelic
SZA,artist,Pop
Playboi Carti,artist,Trap
Bun B,artist,Houston Legends
Meek Mill,artist,Mainstream Rap
A$AP Ferg,artist,Psychedelic
Popcaan,artist,Dancehall
Theophilus London,artist,Psychedelic
Paul Wall,artist,Houston Legends
James Fauntleroy,artist,Pop
Wale,artist,Mainstream Rap
Rich Homie Quan,artist,Trap
The 1975,artist,Alternative
Migos,artist,Trap
Peewee Longway,artist,Trap
Juicy J,artist,Southern Hip-Hop
Kacy Hill,artist,Pop
Chief Keef,artist,Drill
Justin Bieber,artist,Pop
ScHoolboy Q,artist,Mainstream Rap
Andre 3000,artist,Southern Hip-Hop
Kendrick Lamar,artist,Mainstream Rap
Bryson Tiller,artist,Pop
Gucci Mane,artist,Trap
Yo Gotti,artist,Southern Hip-Hop
Desiigner,artist,Trap
Offset,artist,Trap
Yung Lean,artist,Psychedelic
Frank Ocean,artist,Pop
Philip Bailey,artist,Soul
Juice WRLD,artist,Trap
Tame Impala,artist,Psychedelic
Gunna,artist,Trap
Lil Baby,artist,Trap
ROSALIA,artist,International
Luxury Tax,artist,Cactus Jack
Pop Smoke,artist,Drill
M.I.A.,artist,Alternative
Teezo Touchdown,artist,Psychedelic
Beyonce,artist,Pop
Rob49,artist,Southern Hip-Hop
Dave Chappelle,artist,Cultural Figures
Westside Gunn,artist,Alternative
Bad Bunny,artist,International
Waka Flocka Flame,artist,Trap
SoFaygo,artist,Cactus Jack
SahBabii,artist,Trap
Tyla,artist,International
Vybz Kartel,artist,Dancehall
GloRilla,artist,Southern Hip-Hop
YoungBoy Never Broke Again,artist,Southern Hip-Hop
Kodak Black,artist,Southern Hip-Hop
MIKE DEAN,producer,Producer
Allen Ritter,producer,Producer
WondaGurl,producer,Producer
Jahaan Sweet,producer,Producer
Metro Boomin,producer,Producer
CuBeatz,producer,Producer
OZ,producer,Producer
Vinylz,producer,Producer
Ging,producer,Producer
Murda Beatz,producer,Producer
Noah Goldstein,producer,Producer
Cardo Got Wings,producer,Producer
Boi-1da,producer,Producer
Kanye West,producer,Producer
Anthony Kilhoffer,producer,Producer
J Gramm,producer,Producer
TM88,producer,Producer
Vegyn,producer,Producer
Buddy Ross,producer,Producer
Dahi,producer,Producer
Lex Luger,producer,Producer
Southside,producer,Producer
Sonny Digital,producer,Producer
Hit-Boy,producer,Producer
Tay Keith,producer,Producer
BNYX,producer,Producer
FKi 1st,producer,Producer
Pharrell Williams,producer,Producer
Roget Chahayed,producer,Producer
Buddah Bless,producer,Producer
Wheezy,producer,Producer
30 Roc,producer,Producer
James Blake,producer,Producer
John Mayer,producer,Producer
Sevn Thomas,producer,Producer
Wallis Lane,producer,Producer
Nik D,producer,Producer
Coleman,producer,Producer
BBYKOBE,producer,Producer
Dilip,producer,Producer
FKi,producer,Producer
The Weeknd,producer,Producer
Illangelo,producer,Producer
Charlie Heat,producer,Producer
T-Minus,producer,Producer
Felix Leone,producer,Producer
!llmind,producer,Producer
London Cyr,producer,Producer
FNZ,producer,Producer
BoogzDaBeast,producer,Producer
Dez Wright,producer,Producer
Toro y Moi,producer,Producer
Emile Haynie,producer,Producer
Rey Reel,producer,Producer
Rahki,producer,Producer
Young Chop,producer,Producer
Rick Rubin,producer,Producer
No I.D.,producer,Producer
Ann Marie Calhoun,producer,Producer
SAK PASE,producer,Producer
The Dope Boyz,producer,Producer
AudioKlique,producer,Producer
C Gutta,producer,Producer
Charlie Handsome,producer,Producer
Syk Sense,producer,Producer
J. Hill,producer,Producer
Tane Runo,producer,Producer
Mano,producer,Producer
Zaytoven,producer,Producer
Ben Billions,producer,Producer
DK the Drummer,producer,Producer
Eestbound,producer,Producer
Maneesh,producer,Producer
1500 or Nothin,producer,Producer
Terrace Martin,producer,Producer
Evian Christ,producer,Producer
Daxz,producer,Producer
Honorable C.N.O.T.E.,producer,Producer
Cashmere Cat,producer,Producer
NAV,producer,Producer
