collaborator,role,frequency,total,node_key,career_total,artist_cluster,found_as_producer,found_as_artist,cluster,name,is_dual_role,angle,distance,color,base_angle,base_distance,cluster_size,cluster_idx,global_count,global_idx,cluster_dist,cluster_angle_rad,cluster_cx,cluster_cy,cluster_local_angle,cluster_local_radius,cluster_x,cluster_y,global_angle,global_radius,dist_x,dist_y,x,y,node_size,img_radius,image_url,is_searching,search_match,label_opacity,label_visibility
"Kanye West","artist","medium","3","Kanye West|artist","3","Mainstream Rap","Kanye West","Kanye West","Mainstream Rap","Kanye West","true","24","258","#a85561","24","258","3","3","51","32","258","0.41887902047863906","835.694728071791","604.9380539135565","4.8","58.023702053557386","840.7717430168706","547.1368954541671","74.39999999999999","301.004853064909","763.083276312402","247.00243764842273","763.083276312402","247.00243764842273","9.47300783992378","5.351981830465412","images/Kanye%20West.webp","false","false","0.7","0"
"Kanye West","producer","medium","5","Kanye West|producer","5","Mainstream Rap","Kanye West","Kanye West","Producer","Kanye West","true","120","328","#7a6a8a","120","328","92","92","25","17","328","2.0943951023931953","436.0000000000001","784.0563324412959","218.4","191.83326093250878","447.3710716168181","592.5603827967011","38.4","313.3560275469422","839.4885232138823","702.0822784136049","839.4885232138823","702.0822784136049","12.255507940800143","6.924015785762792","images/Kanye%20West.webp","false","false","0.7","0"
"Toro y Moi","artist","low","2","Toro y Moi|artist","2","Psychedelic","Toro y Moi","Toro y Moi","Psychedelic","Toro y Moi","true","310","258","#5d7a9c","310","258","10","10","76","52","258","5.410520681182422","765.8392032991271","302.36053367530366","21.599999999999998","72.73238618387273","698.600165149983","330.0897916671424","122.39999999999999","314.32467291003417","288.0159746434279","538.2879605399631","288.0159746434279","538.2879605399631","7.873514378137413","4.448313207987239","images/Toro%20y%20Moi.webp","false","false","0.4","0"
"Toro y Moi","producer","low","1","Toro y Moi|producer","1","Psychedelic","Toro y Moi","Toro y Moi","Producer","Toro y Moi","true","120","328","#7a6a8a","120","328","159","159","247","77","328","2.0943951023931953","436.0000000000001","784.0563324412959","379.2","252.19040425836982","285.78063486509615","986.6251907055079","182.4","263.2489316217637","858.6288605814434","549.1030800901972","858.6288605814434","549.1030800901972","6","3.389830508474576","images/Toro%20y%20Moi.webp","false","false","0.4","0"
"Meek Mill","artist","low","1","Meek Mill|artist","1","Mainstream Rap","","Meek Mill","Mainstream Rap","Meek Mill","false","24","258","#a85561","24","258","5","5","247","78","258","0.41887902047863906","835.694728071791","604.9380539135565","9.6","68.20007331374359","768.5389441154786","593.0489546536003","184.79999999999998","264.95282598983545","374.67231321853944","639.3823287569699","374.67231321853944","639.3823287569699","6","3.389830508474576","images/Meek%20Mill.webp","false","false","0.4","0"
"T.I.","artist","low","2","T.I.|artist","2","Trap","","T.I.","Trap","T.I.","false","72","258","#c4a05c","72","258","17","17","76","53","258","1.2566370614359172","679.7263845487364","745.3725812041496","38.4","82.46211251235322","742.7496801313371","798.5521281550982","124.8","317.33263305244856","806.1469961075546","258.7461585884448","806.1469961075546","258.7461585884448","7.873514378137413","4.448313207987239","images/T.I..webp","false","false","0.4","0"
"A$AP Ferg","artist","low","1","A$AP Ferg|artist","1","Psychedelic","","A$AP Ferg","Psychedelic","A$AP Ferg","false","310","258","#5d7a9c","310","258","1","1","247","79","258","5.410520681182422","765.8392032991271","302.36053367530366","0","36.5","802.3392032991271","302.36053367530366","187.2","266.64583251946766","672.4677061471932","243.39050764680576","672.4677061471932","243.39050764680576","6","3.389830508474576","images/A$AP%20Ferg.webp","false","false","0.4","0"
"Popcaan","artist","low","1","Popcaan|artist","1","Dancehall","","Popcaan","Dancehall","Popcaan","false","192","258","#8a9c5d","192","258","1","1","247","80","258","3.3510321638291125","347.63791901067816","446.35878376901815","0","36.5","384.13791901067816","446.35878376901815","189.6","268.3281572999748","720.6494631954675","739.6741684676209","720.6494631954675","739.6741684676209","6","3.389830508474576","images/Popcaan.webp","false","false","0.4","0"
"Justin Vernon","artist","low","2","Justin Vernon|artist","2","Psychedelic","","Justin Vernon","Psychedelic","Justin Vernon","false","310","258","#5d7a9c","310","258","3","3","76","54","258","5.410520681182422","765.8392032991271","302.36053367530366","4.8","58.023702053557386","770.9162182442067","244.55937521591432","127.19999999999999","320.3123475609393","611.0493747480613","820.1217132868012","611.0493747480613","820.1217132868012","7.873514378137413","4.448313207987239","images/Justin%20Vernon.webp","false","false","0.4","0"
"Theophilus London","artist","low","1","Theophilus London|artist","1","Psychedelic","","Theophilus London","Psychedelic","Theophilus London","false","310","258","#5d7a9c","310","258","9","9","247","81","258","5.410520681182422","765.8392032991271","302.36053367530366","19.2","73.5","834.8718987813471","327.59418094356596","192","270","347.5797793969465","404.1666434340015","347.5797793969465","404.1666434340015","6","3.389830508474576","images/Theophilus%20London.webp","false","false","0.4","0"
"Paul Wall","artist","low","1","Paul Wall|artist","1","Houston Legends","","Paul Wall","Houston Legends","Paul Wall","false","336","278","#7a5d4a","336","278","2","2","247","82","278","5.8643062867009474","853.965637224643","386.9272132249275","2.4","49.49747468305833","817.466510458194","420.36093490359616","194.4","271.66155414412253","852.4087872909706","399.5519831041868","852.4087872909706","399.5519831041868","6","3.389830508474576","images/Paul%20Wall.webp","false","false","0.4","0"
"James Fauntleroy","artist","low","1","James Fauntleroy|artist","1","Pop","","James Fauntleroy","Pop","James Fauntleroy","false","0","293","#d0a8b0","0","293","4","4","247","83","293","0","893","500","7.199999999999999","64","931.9344841300643","550.7947432863458","196.79999999999998","273.313007374329","481.00527553791835","746.0492949597566","481.00527553791835","746.0492949597566","6","3.389830508474576","images/James%20Fauntleroy.webp","false","false","0.4","0"
"Wale","artist","low","1","Wale|artist","1","Mainstream Rap","","Wale","Mainstream Rap","Wale","false","24","258","#a85561","24","258","7","7","247","84","258","0.41887902047863906","835.694728071791","604.9380539135565","14.399999999999999","72.75816105427624","816.7908950236945","675.1975379430431","199.2","274.9545416973504","521.0775395756466","236.61578399500405","521.0775395756466","236.61578399500405","6","3.389830508474576","images/Wale.webp","false","false","0.4","0"
"Anthony Kilhoffer","producer","medium","5","Anthony Kilhoffer|producer","5","","Anthony Kilhoffer","","Producer","Anthony Kilhoffer","false","120","328","#7a6a8a","120","328","15","15","25","18","328","2.0943951023931953","436.0000000000001","784.0563324412959","33.6","77.45966692414834","391.41805166048977","847.4002341387225","40.8","322.44069222106566","277.826389805172","513.1211620686204","277.826389805172","513.1211620686204","12.255507940800143","6.924015785762792","images/Anthony%20Kilhoffer.webp","false","false","0.7","0"
"Emile Haynie","producer","low","1","Emile Haynie|producer","1","","Emile Haynie","","Producer","Emile Haynie","false","120","328","#7a6a8a","120","328","62","62","247","85","328","2.0943951023931953","436.0000000000001","784.0563324412959","146.4","157.48015748023622","387.0690865219494","933.7418885454288","201.6","276.5863337187866","837.50448521318","641.7449099742996","837.50448521318","641.7449099742996","6","3.389830508474576","images/Emile%20Haynie.webp","false","false","0.4","0"
"J Gramm","producer","medium","5","J Gramm|producer","5","","J Gramm","","Producer","J Gramm","false","120","328","#7a6a8a","120","328","82","82","25","19","328","2.0943951023931953","436.0000000000001","784.0563324412959","194.4","181.10770276274835","604.2725248606472","717.0909878440871","43.199999999999996","331.27631970909124","834.9730099486978","266.4797983136166","834.9730099486978","266.4797983136166","12.255507940800143","6.924015785762792","images/J%20Gramm.webp","false","false","0.7","0"
"WondaGurl","producer","high","16","WondaGurl|producer","16","","WondaGurl","","Producer","WondaGurl","false","120","328","#7a6a8a","120","328","167","167","4","4","328","2.0943951023931953","436.0000000000001","784.0563324412959","398.4","258.4569596664017","220.13206196404403","926.1866716659126","7.199999999999999","380","831.173499522257","801.593788262678","831.173499522257","801.593788262678","23.893213519106975","13.498990688761003","images/WondaGurl.webp","false","false","1","1"
"Rey Reel","producer","low","1","Rey Reel|producer","1","","Rey Reel","","Producer","Rey Reel","false","120","328","#7a6a8a","120","328","126","126","247","86","328","2.0943951023931953","436.0000000000001","784.0563324412959","300","224.4994432064365","431.03932127519096","559.6117030411046","204","278.20855486487113","327.5334778524375","556.2316130731801","327.5334778524375","556.2316130731801","6","3.389830508474576","images/Rey%20Reel.webp","false","false","0.4","0"
