source,target,value
Streaming Revenue,Music,47
Album Sales,Music,15
Publishing & Royalties,Music,8
Circus Maximus,Live Touring,265.1
Astroworld Tour,Live Touring,65
Birds Eye View Tour,Live Touring,10
Rodeo Tour,Live Touring,2.12
Cactus Jack Merch,Merchandise,40
Tenet (2020),Entertainment & Media,0.1
Aggro Dr1ft (2023),Entertainment & Media,0.2
Ballers (2017),Entertainment & Media,0.1
Nike & Jordan Brand,Brand Partnerships,120
Fortnite,Brand Partnerships,20
McDonald's,Brand Partnerships,20
Dior,Brand Partnerships,8
PlayStation,Brand Partnerships,20
Reese's Puffs,Brand Partnerships,3
Audemars Piguet,Brand Partnerships,40.2
Cacti Agave Seltzer,Brand Partnerships,51.2
Zouk Nightclub Residency,Brand Partnerships,15
Helmut Lang,Brand Partnerships,5
Byredo,Brand Partnerships,2
Music,Travis Scott,70
Brand Partnerships,Travis Scott,304.4
Live Touring,Travis Scott,342.22
Entertainment & Media,Travis Scott,0.4
Merchandise,Travis Scott,40
