date,title_wrapped,type,label_position,formatted_date,image_url
21/05/2013,Owl Pharaoh,Mixtape,above,21-May-13,images/owl_pharaoh.webp
18/08/2014,Days Before|Rodeo,Mixtape,below,18-Aug-14,images/days_before_rodeo.webp
4/09/2015,Rodeo,Album,above,4-Sep-15,images/rodeo.webp
2/09/2016,Birds in the Trap|Sing McKnight,Album,below,2-Sep-16,images/birds_in_the_trap_sing_mcknight.webp
21/12/2017,"Huncho Jack,|Jack Huncho",Album,above,21-Dec-17,images/huncho_jack_jack_huncho.webp
3/08/2018,Astroworld,Album,below,3-Aug-18,images/astroworld.webp
27/12/2019,JackBoys,Compilation,above,27-Dec-19,images/jackboys.webp
28/07/2023,Utopia,Album,below,28-Jul-23,images/utopia.webp
23/08/2024,Days Before|Rodeo (Reissue),Album,above,23-Aug-24,images/days_before_rodeo.webp
13/07/2025,JackBoys 2,Compilation,below,13-Jul-25,images/jackboys_2.webp
